pmid,has_online_dataset,pmid_found_in_dbs,ochsner_found_any_data,ochsner_found_geo_data,ochsner_found_arrayexpress_data,ochsner_found_smd_data,ochsner_data_ids,pubmed_is_humans,pubmed_is_animals,pubmed_is_mice,pubmed_is_fungi,pubmed_is_bacteria,pubmed_is_plants,pubmed_is_viruses,pubmed_is_cultured_cells,pubmed_is_cancer,pubmed_date_published,approx_date_published,pubmed_authors,pubmed_journal,pubmed_number_times_cited_in_pmc,impact_factor,discipline_journal,accession,in_centralized_db,data_available,pmids_from_links,pmids_from_links_in_ochsner_set,centralized_link_to_ochsner_pmid,if_no_link_then_what,dataset_in_ochsner,pmid_from_ochsner,pmid_from_links_or_ochsner,release_date,submission_date,submitter,contributors,species,number_samples,array_design,in_arrayexpress,in_geo,ochsner_journal,ochsner_other,journal_policy_requires
17003378,1,1,1,0,1,0,E-TABM-24,1,1,1,0,0,0,0,1,1,2007 Jan 15,1/1/07,"Cayrol C, Lacroix C, Mathe C, Ecochard V, Ceribelli M, Loreau E, Lazar V, Dessen P, Mantovani R, Aguilar L, Girard JP",Blood,1,10.896,1,E-TABM-24,1,1,['17003378'],['17003378'],1,,TRUE,['17003378'],17003378,7/28/05,None,Philippe Dessen,Philippe Dessen,Homo sapiens,3,A-AGIL-14: Agilent Human 1A Microarray 011521 G4110A (2004 annotation),1,0,0,0,1
17099705,1,0,1,0,1,0,E-TABM-143,0,0,0,0,1,0,0,0,0,2007 Jan,1/1/07,"Lynch MD, Warnecke T, Gill RT",Nat Methods,2,15.478,0,E-TABM-143,1,1,,,0,PMID_to_another_paper_same_authors,TRUE,['17099705'],17099705,10/2/06,None,Ryan Gill,Ryan Gill,Escherichia coli,9,A-AFFY-29: Affymetrix GeneChip  E.coli Antisense Genome Array [Ecoli_ASv2],1,0,0,0,1
17200196,1,0,1,0,0,0,http://ajp.amjpathol.org/cgi/content/full/170/1/227/DC1,1,1,0,0,0,0,0,1,1,2007 Jan,1/1/07,"Eidsmo L, Fluur C, Rethi B, Eriksson Ygberg S, Ruffin N, De Milito A, Akuffo H, Chiodi F",Am J Pathol,0,5.487,1,,0,1,,,0,,,,,,,,,Homo sapiens,,Other,0,0,1,0,0
17200207,1,0,1,1,0,0,GSE4237,1,0,0,0,0,0,0,1,1,2007 Jan,1/1/07,"Hussaini IM, Trotter C, Zhao Y, Amos S, Xiao A, Agi CU, Redpath GT, Fang Z, Leung GK, Lopes MB, Laws ER Jr",Am J Pathol,0,5.487,1,GSE4237,1,1,,,0,no_citation,TRUE,['17200207'],17200207,14-Feb-06,14-Feb-06,Elizabeth  Salomon,Hussaini IM,Homo sapiens,10,GPL570: [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,0,1,0,0,0
17210724,1,1,1,1,0,0,GSE5222,1,0,0,0,0,0,0,0,1,2007 Jan 1,1/1/07,"Gratias S, Rieder H, Ullmann R, Schneider S, Kappler M, Lohmann DR",Cancer Res,1,7.672,1,GSE5222,1,1,[u'17210724'],[u'17210724'],1,,TRUE,['17210724'],17210724,29-Jan-07,3-Jul-06,Ludger Klein-Hitpass,Gratias S,Homo sapiens,12,GPL96: [HG-U133A] Affymetrix Human Genome U133A Array,1,1,0,0,1
16960149,1,1,0,0,0,0,,1,0,0,0,0,0,0,1,1,2007 Jan 1,1/1/07,"Richter JA, Siebert R, Climent J, Fresquet V, Beltran E, Agirre X, Marugan I, Rosenwald A, Sugimoto KJ, Wheat LM, Karran EL, Sanchez L, Prosper F, Staudt LM, Pinkel D, Dyer MJ",Blood,3,10.896,1,GSE5316,1,1,[u'16960149'],[u'16960149'],1,,FALSE,,16960149,5-Feb-07,14-Jul-06,Jose Angel Martinez Climent,None,Homo sapiens,48,GPL3789: UCSF HUMAN 1.14,0,1,0,0,1
17210724,1,1,1,1,0,0,GSE5222,1,0,0,0,0,0,0,0,1,2007 Jan 1,1/1/07,"Gratias S, Rieder H, Ullmann R, Schneider S, Kappler M, Lohmann DR",Cancer Res,1,7.672,1,GSE5359,1,1,[u'17210724'],[u'17210724'],1,,FALSE,,17210724,20-Dec-06,20-Jul-06,Reinhard Ullmann,Gratias S,Homo sapiens,2,GPL3960: MPIMG Homo sapiens 44K aCGH3_MPIMG_BERLIN,1,1,0,0,1
17234781,1,0,1,1,0,0,GSE5665,1,0,0,0,0,0,0,1,1,2007 Jan 15,1/1/07,"Bhati R, Sledge GW Jr, Fan C, Nakshatri H, Ketelsen D, Borchers CH, Dial MJ, Patterson C",Cancer Res,0,7.672,1,GSE5665,1,1,,,0,no_citation,TRUE,['17234781'],17234781,8-Sep-06,29-Aug-06,Nancy DeMore,None,Homo sapiens,10,GPL887: Agilent-012097 Human 1A Microarray (V2) G4110B (Feature Number version),0,1,0,0,1
17128275,1,1,1,1,0,0,GSE5974,0,0,0,0,0,1,0,0,0,2007 Jan,1/1/07,"Zilberman D, Gehring M, Tran RK, Ballinger T, Henikoff S",Nat Genet,41,25.556,1,GSE5974,1,1,[u'17128275'],[u'17128275'],1,,TRUE,['17128275'],17128275,26-Nov-06,5-Oct-06,Jorja Henikoff,Zilberman D,Arabidopsis thaliana,5,GPL3371: FHCRC Arabidopsis Tiling Array,0,1,0,0,1
17060456,1,1,1,1,0,0,GSE6263,1,0,0,0,0,0,0,1,1,2007 Jan,1/1/07,"Kim JS, Lee C, Bonifant CL, Ressom H, Waldman T",Mol Cell Biol,3,6.42,1,GSE6263,1,1,[u'17060456'],[u'17060456'],1,,TRUE,['17060456'],17060456,15-Nov-06,10-Nov-06,JUNGSIK KIM,None,Homo sapiens,5,GPL96: [HG-U133A] Affymetrix Human Genome U133A Array,1,1,0,0,1
17210755,0,,0,0,0,0,,0,1,1,0,0,0,0,1,0,2007 Jan,1/1/07,"Greenman IC, Gomez E, Moore CE, Herbert TP",J Endocrinol,1,2.636,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,0
17023530,0,,0,0,0,0,,0,1,1,0,0,0,0,1,0,2007 Jan,1/1/07,"Seenundun S, Robaire B",Endocrinology,0,5.045,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,0
16973760,0,,0,0,0,0,,1,1,1,0,0,0,0,0,0,2007 Jan,1/1/07,"Nilsson M, Stulnig TM, Lin CY, Yeo AL, Nowotny P, Liu ET, Steffensen KR",Mol Endocrinol,0,5.337,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,0
17008382,0,,0,0,0,0,,1,1,0,0,0,0,0,0,0,2007 Jan,1/1/07,"Vidal OM, Merino R, Chia DJ, Woelfle J, Ono M, Lenhard B, Norstedt G, Rotwein P",Mol Endocrinol,1,5.337,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,0
17105730,0,,0,0,0,0,,1,1,1,0,0,0,0,0,0,2007 Jan 19,1/1/07,"Meadows NA, Sharma SM, Faulkner GJ, Ostrowski MC, Hume DA, Cassady AI",J Biol Chem,0,5.581,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,1
17121842,0,,0,0,0,0,,0,0,0,1,0,0,0,0,0,2007 Jan 26,1/1/07,"Wu CY, Bird AJ, Winge DR, Eide DJ",J Biol Chem,3,5.581,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,1
17182561,0,,0,0,0,0,,0,1,1,0,0,0,0,0,1,2007 Jan 1,1/1/07,"Gong D, Malek TR",J Immunol,2,6.068,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,1
17182576,0,,0,0,0,0,,0,1,1,0,0,0,0,0,0,2007 Jan 1,1/1/07,"Shahlaee AH, Brandal S, Lee YN, Jie C, Takemoto CM",J Immunol,2,6.068,1,,0,0,,,0,,,,,,,,,,,,0,0,0,0,1
17116744,0,,0,0,0,0,,1,1,0,0,0,0,0,0,1,2007 Jan,1/1/07,"Sacheck JM, Hyatt JP, Raffaello A, Jagoe RT, Roy RR, Edgerton VR, Lecker SH, Goldberg AL",FASEB J,8,6.791,0,,0,0,,,0,,,,,,,,,,,,0,0,0,0,0
